file	trait_id	trait_label	graph_id	scope_status	protein_nodes	semantic_grounded_nodes	reviewed_label_only_nodes	canonical_examples	cited_canonical_examples	protein_examples	taxon_matched_examples	status	error_count	gap_count	unmet_requirements
data/traits/ecology/animal_pathogen.yaml	METPO:1004002	animal pathogen	animal_pathogen_metazoan_adaptation	NONMECHANISTIC	6	1	5	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biofilm_formation.yaml	traitmech:000053	biofilm formation	biofilm_eps_matrix_community	MECHANISTIC	1	1	0	2	2	1	1	PASS	0	0	-
data/traits/ecology/biosafety_level.yaml	METPO:1001101	biosafety level	biosafety_level_hazard_classification	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biosafety_level_1.yaml	METPO:1001102	biosafety level 1	biosafety_level_1_minimal_hazard	NONMECHANISTIC	1	0	1	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biosafety_level_2.yaml	METPO:1001103	biosafety level 2	biosafety_level_2_moderate_hazard	NONMECHANISTIC	0	0	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biosafety_level_3.yaml	METPO:1001104	biosafety level 3	biosafety_level_3_serious_hazard	NONMECHANISTIC	0	0	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biosafety_level_4.yaml	METPO:1001105	biosafety level 4	biosafety_level_4_extreme_hazard	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/biosafety_level_5.yaml	METPO:1001106	biosafety level 5	biosafety_level_5_proposed_enhanced_hazard	NONMECHANISTIC	0	0	0	0	0	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/commensalism.yaml	traitmech:000042	commensalism	commensalism_neutral_host	NONMECHANISTIC	2	0	2	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/endosymbiosis.yaml	traitmech:000045	endosymbiosis	endosymbiosis_intracellular_genome_reduction	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/free_living.yaml	traitmech:000048	free-living	free_living_environmental_habitat	NONMECHANISTIC	0	0	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/gut_associated.yaml	traitmech:000052	gut-associated	gut_associated_microbiota_metabolism	NONMECHANISTIC	1	0	1	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/habitat_association.yaml	traitmech:000047	habitat association	habitat_association_biogeographic_structure	NONMECHANISTIC	1	0	1	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/host_associated.yaml	traitmech:000049	host-associated	host_associated_microbiome	NONMECHANISTIC	1	0	1	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/human_pathogen.yaml	METPO:1004004	human pathogen	human_pathogen_anthropoid_adaptation	NONMECHANISTIC	2	1	1	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/mutualism.yaml	traitmech:000041	mutualism	mutualism_reciprocal_benefit	NONMECHANISTIC	0	0	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/nitrogen_fixing_symbiosis.yaml	traitmech:000044	nitrogen-fixing symbiosis	rhizobia_legume_n2_fixation	MECHANISTIC	2	1	1	2	2	1	1	PASS	0	0	-
data/traits/ecology/opportunistic_pathogen.yaml	traitmech:000046	opportunistic pathogen	opportunistic_pathogen_context_dependent_virulence	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/parasitism.yaml	traitmech:000043	parasitism	parasitism_host_fitness_cost	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/pathogenic_to_host.yaml	METPO:1004000	pathogenic to host	pathogenic_to_host_virulence_factor_program	NONMECHANISTIC	2	0	2	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/plant_pathogen.yaml	METPO:1004003	plant pathogen	plant_pathogen_t3ss_effector_program	NONMECHANISTIC	4	0	4	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/predatory_bacterium.yaml	traitmech:000054	predatory bacterium	predatory_bacterium_prey_killing	NONMECHANISTIC	0	0	0	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/rhizosphere_association.yaml	traitmech:000051	rhizosphere association	rhizosphere_root_exudate	NONMECHANISTIC	1	0	1	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/saprotrophy.yaml	traitmech:000055	saprotrophy	saprotrophy_decomposition_cycling	NONMECHANISTIC	5	2	3	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/soil_dwelling.yaml	traitmech:000050	soil-dwelling	soil_dwelling_biogeochemistry	NONMECHANISTIC	0	0	0	3	3	0	0	NONMECHANISTIC	0	0	-
data/traits/ecology/symbiosis.yaml	traitmech:000040	symbiosis	symbiosis_host_interaction	NONMECHANISTIC	1	0	1	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/acidophilic.yaml	METPO:1003003	acidophilic	acidophilic_ph_homeostasis	NONMECHANISTIC	2	0	2	1	1	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/acidotolerant.yaml	METPO:1003008	acidotolerant	acidotolerant_acid_stress_homeostasis	NONMECHANISTIC	0	0	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/aerobic.yaml	METPO:1000602	aerobic	aerobic_trait_mechanism	NONMECHANISTIC	3	0	3	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/aerotolerant.yaml	METPO:1000609	aerotolerant	aerotolerant_anaerobe_ros_defense	NONMECHANISTIC	5	5	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/alkalotolerant.yaml	METPO:1003009	alkalotolerant	alkalotolerant_alkaline_stress_homeostasis	NONMECHANISTIC	1	1	0	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/alkaphilic.yaml	METPO:1003002	alkaliphilic	alkaliphilic_na_cycle_homeostasis	NONMECHANISTIC	3	0	3	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/anaerobic.yaml	METPO:1000603	anaerobic	anaerobic_trait_oxygen_exclusion	NONMECHANISTIC	2	0	2	2	2	0	0	NONMECHANISTIC	0	0	-
data/traits/environment/arsenic_tolerant.yaml	traitmech:000017	arsenic tolerant	arsenic_tolerance_ars_efflux	MECHANISTIC	6	0	6	3	3	1	1	PASS	0	0	-
data/traits/environment/cadmium_tolerant.yaml	traitmech:000013	cadmium tolerant	cadmium_tolerance_czc_efflux	MECHANISTIC	3	0	3	2	2	1	1	PASS	0	0	-
data/traits/environment/cobalt_tolerant.yaml	traitmech:000015	cobalt tolerant	cobalt_tolerance_czc_cnr_efflux	MECHANISTIC	6	0	6	2	2	1	1	PASS	0	0	-
