file	graph_id	defect	severity	detail
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	INCONSISTENT_NODE_TYPE	WARN	node_id='eps_matrix' type=CHEMICAL here — also CELLULAR_LOCALIZATION×1 elsewhere in the corpus
data/traits/environment/aerobic.yaml	aerobic_trait_mechanism	INCONSISTENT_NODE_TYPE	WARN	node_id='terminal_electron_acceptor' type=MOLECULAR_FUNCTION here — also CHEMICAL×3 elsewhere in the corpus
data/traits/environment/alkalotolerant.yaml	alkalotolerant_alkaline_stress_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='electrogenic_na_h_antiport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/desiccation_tolerant.yaml	desiccation_anhydrobiosis_repair	INCONSISTENT_NODE_TYPE	WARN	node_id='oxidative_stress' type=BIOLOGICAL_PROCESS here — also ENVIRONMENTAL_FACTOR×1 elsewhere in the corpus
data/traits/environment/euryhaline.yaml	euryhaline_wide_salinity_tolerance	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_transport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/facultative_oxygen_preference.yaml	facultative_oxygen_preference_switching	INCONSISTENT_NODE_TYPE	WARN	node_id='anaerobic_metabolism_genes' type=PATHWAY here — also GENE_OR_PROTEIN×1 elsewhere in the corpus
data/traits/environment/facultatively_acidophilic.yaml	facultatively_acidophilic_ph_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='glutamate_decarboxylase_system' type=GENE_OR_PROTEIN here — also PATHWAY×2 elsewhere in the corpus
data/traits/environment/facultatively_acidophilic.yaml	facultatively_acidophilic_ph_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='intracellular_ph' type=QUALITY here — also STATE×1 elsewhere in the corpus
data/traits/environment/facultatively_aerobic.yaml	facultative_aerobe_oxygen_flexible_growth	INCONSISTENT_NODE_TYPE	WARN	node_id='anaerobic_metabolism_genes' type=GENE_OR_PROTEIN here — also PATHWAY×1 elsewhere in the corpus
data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml	growth_range_phenotype_descriptor	INCONSISTENT_NODE_TYPE	WARN	node_id='cytoplasm_acidification' type=STATE here — also BIOLOGICAL_PROCESS×2 elsewhere in the corpus
data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml	growth_range_phenotype_descriptor	INCONSISTENT_NODE_TYPE	WARN	node_id='aa_decarboxylase_antiporter' type=MOLECULAR_FUNCTION here — also PATHWAY×1 elsewhere in the corpus
data/traits/environment/haloalkaliphilic.yaml	haloalkaliphilic_salt_alkaline_adaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='na_h_antiport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/halophilic.yaml	halophilic_osmoadaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='acidified_proteome' type=STATE here — also QUALITY×1 elsewhere in the corpus
data/traits/environment/halophilic.yaml	halophilic_osmoadaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='oxidative_stress' type=BIOLOGICAL_PROCESS here — also ENVIRONMENTAL_FACTOR×1 elsewhere in the corpus
data/traits/environment/halophily_preference.yaml	halophily_preference_osmoadaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_transport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/halophily_preference.yaml	halophily_preference_osmoadaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='acidified_proteome' type=QUALITY here — also STATE×1 elsewhere in the corpus
data/traits/environment/halotolerant.yaml	halotolerant_salt_stress_response	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_transport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/hyperthermophilic.yaml	hyperthermophilic_thermostability	INCONSISTENT_NODE_TYPE	WARN	node_id='membrane_lipid_composition' type=CELLULAR_LOCALIZATION here — also BIOLOGICAL_PROCESS×1, QUALITY×1 elsewhere in the corpus
data/traits/environment/nacl_delta_mid2.yaml	nacl_delta_mid2_broad_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_transport' type=BIOLOGICAL_PROCESS here — also MOLECULAR_FUNCTION×3 elsewhere in the corpus
data/traits/environment/nacl_delta_mid2.yaml	nacl_delta_mid2_broad_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='eps_matrix' type=CELLULAR_LOCALIZATION here — also CHEMICAL×1 elsewhere in the corpus
data/traits/environment/nacl_optimum.yaml	nacl_optimum_balanced_osmoadaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_uptake' type=BIOLOGICAL_PROCESS here — also GENE_OR_PROTEIN×1 elsewhere in the corpus
data/traits/environment/nacl_range_low.yaml	nacl_range_low_non_halophile	INCONSISTENT_NODE_TYPE	WARN	node_id='hyperosmotic_stress' type=BIOLOGICAL_PROCESS here — also ENVIRONMENTAL_FACTOR×1 elsewhere in the corpus
data/traits/environment/neutrophilic.yaml	neutrophilic_neutral_ph_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='intracellular_ph' type=STATE here — also QUALITY×1 elsewhere in the corpus
data/traits/environment/non_halophilic.yaml	non_halophilic_salt_stress_response	INCONSISTENT_NODE_TYPE	WARN	node_id='compatible_solute_uptake' type=GENE_OR_PROTEIN here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/obligately_anaerobic.yaml	obligate_anaerobe_oxygen_toxicity	INCONSISTENT_NODE_TYPE	WARN	node_id='dna_damage' type=BIOLOGICAL_PROCESS here — also ENVIRONMENTAL_FACTOR×1 elsewhere in the corpus
data/traits/environment/optimum_phenotype_with_numerical_limits.yaml	optimum_phenotype_descriptor	INCONSISTENT_NODE_TYPE	WARN	node_id='hyperosmotic_stress' type=ENVIRONMENTAL_FACTOR here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/ph_delta_high.yaml	ph_delta_high_euryphilic_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='near_neutral_cytoplasmic_ph' type=QUALITY here — also STATE×1 elsewhere in the corpus
data/traits/environment/ph_delta_low.yaml	ph_delta_low_limited_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='electrogenic_na_h_antiport' type=BIOLOGICAL_PROCESS here — also MOLECULAR_FUNCTION×1 elsewhere in the corpus
data/traits/environment/ph_delta_mid2.yaml	ph_delta_mid2_broad_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='glutamate_decarboxylase_system' type=PATHWAY here — also GENE_OR_PROTEIN×1 elsewhere in the corpus
data/traits/environment/ph_delta_mid3.yaml	ph_delta_mid3_wide_breadth	INCONSISTENT_NODE_TYPE	WARN	node_id='na_h_antiport' type=BIOLOGICAL_PROCESS here — also MOLECULAR_FUNCTION×2 elsewhere in the corpus
data/traits/environment/ph_delta_very_low.yaml	ph_delta_very_low_stenotopic	INCONSISTENT_NODE_TYPE	WARN	node_id='glutamate_decarboxylase_system' type=PATHWAY here — also GENE_OR_PROTEIN×1 elsewhere in the corpus
data/traits/environment/ph_growth_preference.yaml	ph_growth_preference_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='na_h_antiport' type=MOLECULAR_FUNCTION here — also BIOLOGICAL_PROCESS×1 elsewhere in the corpus
data/traits/environment/ph_optimum.yaml	ph_optimum_balanced_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='cytoplasm_acidification' type=BIOLOGICAL_PROCESS here — also STATE×1 elsewhere in the corpus
data/traits/environment/ph_optimum.yaml	ph_optimum_balanced_homeostasis	INCONSISTENT_NODE_TYPE	WARN	node_id='internal_ph' type=STATE here — also QUALITY×1 elsewhere in the corpus
data/traits/environment/ph_optimum_mid2.yaml	ph_optimum_mid2_alkaline_tolerant_setpoint	INCONSISTENT_NODE_TYPE	WARN	node_id='respiratory_proton_pumping' type=PATHWAY here — also GENE_OR_PROTEIN×1 elsewhere in the corpus
